scenario,score
2050-01-03_5,4.5
2050-01-10_5,10.1
2050-01-17_5,0.1
2050-01-24_18,8.1
2050-01-31_1,17.3
2050-02-07_3,2.6
2050-02-14_5,3.3
2050-02-21_1,8.2
2050-02-28_5,-51.2
2050-03-07_5,-14.1
2050-03-14_6,6.4
2050-03-21_5,-1.9
2050-03-28_5,2.2
2050-04-04_18,0.5
2050-04-11_5,0.0
2050-04-18_5,0.0
2050-04-25_5,0.0
2050-05-02_5,-0.0
2050-05-09_11,0.0
2050-05-16_5,51.6
2050-05-23_1,-0.0
2050-05-30_5,15.9
2050-06-06_16,0.0
2050-06-13_17,-24.9
2050-06-20_11,-27.8
2050-06-27_5,64.1
2050-07-04_5,34.8
2050-07-11_5,80.0
2050-07-18_5,23.5
2050-07-25_8,80.0
2050-08-01_5,1.8
2050-08-08_5,0.6
2050-08-15_7,80.1
2050-08-22_14,4.5
2050-08-29_5,80.0
2050-09-05_6,60.2
2050-09-12_5,80.0
2050-09-19_5,-0.0
2050-09-26_4,40.6
2050-10-03_17,76.1
2050-10-10_5,0.2
2050-10-17_5,13.3
2050-10-24_5,-0.0
2050-10-31_7,-0.0
2050-11-07_5,0.0
2050-11-14_5,1.0
2050-11-21_5,-34.4
2050-11-28_5,0.0
2050-12-05_9,0.1
2050-12-12_5,0.0
2050-12-19_5,19.2
2050-12-26_5,-45.8
global,12.9
